SITE_NO,SITE_NAME,TYPE,MUNICIPALITY,LATITUDE,LONGITUDE
100,BURWOOD HWY/LIVINGSTONE,INT,WTH,-37.85642,145.181054
101,WELLS/CHELSEA HEIGHTS HOTEL,INT,KIN,-38.029447,145.131974
102,MAROONDAH/NELSON/GOODALL,INT,YRG,-37.753185,145.365523
103,BURWOOD HWY NR REYNOLDS,POS,YRG,-37.909907,145.353343
104,MAROONDAH/GREEN,INT,YRG,-37.654057,145.516846
105,MAROONDAH/COCHRANE/COOK,INT,WTH,-37.81611,145.202051
106,SWANSEA/BIRMINGHAM,INT,YRG,-37.780007,145.364209
107,MAROONDAH/KALLAY/BRENTNALL,INT,MRH,-37.79341,145.260271
108,MITCHAM/BRUNSWICK/CULCUTTA,INT,WTH,-37.817863,145.193789
109,SWANSEA/HULL,INT,YRG,-37.776451,145.363423
111,MAROONDAH HWY/METROPOLITAN,INT,WTH,-37.818267,145.16846
112,MAROONDAH/STATION,INT,WTH,-37.816562,145.19231
113,MAROONDAH/STATION/WILLIAMS,INT,WTH,-37.817404,145.150342
114,WHITEHORSE/CHAPEL,INT,WTH,-37.817561,145.154192
115,MAROONDAH/SURREY,INT,WTH,-37.817724,145.156218
117,MAROONDAH/SPRINGVALE,INT,WTH,-37.818459,145.175999
118,HULL/MOOROOLBARK,INT,YRG,-37.775346,145.33038
119,MAROONDAH/ROOKS,INT,WTH,-37.817539,145.185413
120,MOUNTAIN HWY STH OF BARMAH,POS,KNO,-37.855536,145.216955
121,MAROONDAH/MITCHAM,INT,WTH,-37.816367,145.193659
122,MT DANDENONG/HAWTHORY,INT,YRG,-37.802329,145.312383
123,MAROONDAH NR MONOMEETH,POS,WTH,-37.816602,145.206583
124,MAROONDAH/DEEP CREEK,INT,WTH,-37.816708,145.207594
125,MAROONDAH/HEATHERDALE/DAMPIER,INT,MRH,-37.817221,145.213371
126,MAROONDAH/MT DANDENONG,INT,MRH,-37.811072,145.237417
127,MAROONDAH/NEW,INT,MRH,-37.817013,145.22048
129,MAROONDAH/WANTIRNA/RINGWOOD,INT,MRH,-37.815851,145.227325
130,MAROONDAH HWY nr RAILWAY,POS,MRH,-37.815302,145.22879
131,MAROONDAH/WARRANDYTE,INT,MRH,-37.814638,145.231032
133,MAROONDAH/OBAN,INT,MRH,-37.797875,145.254045
134,MAROONDAH/KALINDA/BEAUFORT,INT,MRH,-37.7959,145.256749
136,MAROONDAH/KENT,INT,MRH,-37.786679,145.275333
137,MAROONDAH/CROYDON/WARRIEN/LINCOLN,INT,MRH,-37.782757,145.284167
138,MAROONDAH/DORSET/BELLARA/EXETER,INT,MRH,-37.77143,145.295238
139,CANTERBURY/BAYFIELD,INT,MRH,-37.827894,145.28214
140,MAROONDAH/BLACK SPRINGS,INT,YRG,-37.75887,145.31317
141,MAROONDAH/EDWARD/MANCHESTER,INT,YRG,-37.758434,145.31589
142,MAROONDAH/VICTORIA,INT,YRG,-37.761067,145.334317
143,Maroondah Hwy & Carpark Access & William St East & William St West,INT,YRG,-37.756955,145.34733
144,MAROONDAH NR CLARKE,POS,YRG,-37.75751,145.351739
145,MAROONDAH/ANDERSON,INT,YRG,-37.757487,145.354837
146,CANTERBURY/MT DANDENONG,INT,YRG,-37.8121,145.33702
147,MAROONDAH/WARBURTON,INT,YRG,-37.749917,145.373844
148,MANCHESTER/BRICE,INT,YRG,-37.785043,145.311008
149,ANDERSON/HARDY,INT,YRG,-37.758866,145.354494
150,MAROONDAH NR GREEN (TEST),POS,YRG,-37.65416,145.515948
151,MANCHESTER/BELLARA,INT,YRG,-37.773788,145.313452
152,BELL NR HERBERT,POS,YRG,-37.658485,145.374294
153,MAROONDAH/CIVIC CENTRE,INT,WTH,-37.818204,145.180598
154,WARBURTON HWY/YARRA JUNCTION-NOOJEE ,INT,YRG,-37.781584,145.614129
155,EDWARD/VIEWPOINT,INT,YRG,-37.757204,145.316421
156,MERRINDALE NR CENTRE,FLASH PX,MRH,-37.813444,145.289862
157,MAROONDAH HWY/KIMBERLEY/FLETCHER,INT,YRG,-37.761358,145.310585
158,CANTERBURY/BUNNINGS HARDWARE ACCESS,INT,MRH,-37.828805,145.279466
159,BURWOOD HWY/LAKEWOOD,INT,KNO,-37.875027,145.253614
160,STATION/ALPINE,INT,KNO,-37.882943,145.295661
161,BURWOOD HWY/LAKESIDE/WOODVALE,INT,WTH,-37.854489,145.165371
162,BURWOOD HWY/BLACKBURN,INT,WTH,-37.852745,145.151921
163,BURWOOD HWY/SEVENOAKS,INT,WTH,-37.853654,145.158269
164,BURWOOD HWY/SPRINGVALE,INT,WTH,-37.854961,145.169242
165,BURWOOD HWY/SAFEWAY ENT/RSPCA ENT,INT,WTH,-37.85233,145.134899
166,BURWOOD HWY/HANOVER/HARTLAND,INT,WTH,-37.85674,145.183555
167,BURWOOD HWY NR BENWERRIN,POS,WTH,-37.851444,145.141829
168,BURWOOD HWY/MORACK/TIP ENT/EXIT,INT,WTH,-37.858574,145.19795
169,BURWOOD HWY/MOUNTAIN HWY,INT,KNO,-37.859954,145.206955
170,BURWOOD HWY/STUD,INT,KNO,-37.869064,145.235152
171,STUD/KNOX CITY ENT 1,INT,KNO,-37.866877,145.236295
172,BURWOOD HWY/KNOX CITY ENT 2/TYNER,INT,KNO,-37.869812,145.237611
173,BURWOOD HWY/KNOX CITY ENT 3/LYNNE,INT,KNO,-37.870374,145.239411
174,BURWOOD HWY/SCORESBY,INT,KNO,-37.876389,145.257657
175,STUD/KNOX TAFE COLLEGE ENT/RIVERPARK,INT,KNO,-37.873102,145.232935
176,BURWOOD HWY/FERNTREE GULLY/COMMERCIAL,INT,KNO,-37.882749,145.277528
177,BURWOOD HWY/DORSET,INT,KNO,-37.885825,145.284256
178,BURWOOD HWY/KNOX CITY ENT 5/TYNER,INT,KNO,-37.871869,145.243956
179,BURWOOD/BRENOCK PK/SELMAN/FOREST,INT,KNO,-37.888744,145.294684
180,BURWOOD HWY/KNOX CITY ENT 4,INT,KNO,-37.87102,145.241289
181,BURWOOD HWY NR WILLOW,POS,KNO,-37.892385,145.304357
182,BURWOOD HWY/DAWSON,INT,KNO,-37.893489,145.309294
183,MAIN NR KILVINGTON,FLASH PX,CAR,-37.932081,145.44073
184,BELGRAVE-GEM NR BEACONSFIELD-EMERALD,FLASH PX,CAR,-37.928853,145.445057
185,PHE/SPRINGVALE,INT,DAN,-37.933148,145.15674
186,PHE NR REILLY,POS,DAN,-37.936148,145.160251
187,WELLS NR LANGSLOW,POS,KIN,-38.017085,145.110314
188,PHE/CORRIGAN,INT,DAN,-37.947572,145.172681
189,PHE/BROWNS,INT,DAN,-37.95362,145.179479
190,PHE/CHANDLER/ELONERA,INT,DAN,-37.961525,145.188362
191,PHE/HEATHERTON/EASTLINK,INT,DAN,-37.967645,145.19519
192,PHE/GLADSTONE/JONES,INT,DAN,-37.975412,145.203784
194,PHE/CLOW,INT,DAN,-37.984823,145.214009
195,PHE (LONSDALE)/WALKER,INT,DAN,-37.988178,145.214399
196,PHE/FOSTER,INT,DAN,-37.990116,145.214607
197,PHE/WEBSTER,INT,DAN,-37.99279,145.216082
198,PHE/FRANKSTON-DANDENONG,INT,DAN,-37.996673,145.218878
199,PHE/PLUNKETT,INT,DAN,-37.999835,145.224028
200,PHE/STH GIPPSLAND HWY,INT,DAN,-38.00053,145.225378
201,PHE/POWER,INT,CAS,-38.001698,145.235411
202,STUD NR OSWALD,POS,DAN,-37.975957,145.222548
203,PHE/BELGRAVE-HALLAM/HALLAM SOUTH,INT,CAS,-38.006275,145.273258
204,PHE/MAGID,INT,CAS,-38.02008,145.298161
205,PHE/DECOR,INT,CAS,-38.005088,145.26363
206,PHE/WEBB,INT,CAS,-38.025272,145.305292
208,PHE/CLYDE/LYALL,INT,CAS,-38.030977,145.343795
209,HIGH/GLOUCESTER,INT,CAS,-38.031446,145.346306
211,NEPEAN/STATION,INT,KIN,-38.012126,145.09014
212,NEPEAN NR THE STRAND,POS,KIN,-38.052444,145.115996
213,NEPEAN NR BAYVIEW,POS,KIN,-38.020298,145.097172
214,NEPEAN/LINCOLN,INT,KIN,-38.027673,145.102367
215,NEPEAN/LOCHIEL/STATION,INT,KIN,-38.034286,145.106236
216,NEPEAN/STATION/EDITHVALE,INT,KIN,-38.038634,145.108803
217,NEPEAN NR BRISTOL,POS,KIN,-38.043949,145.111676
218,STATION ST SOUTH OF CHELSEA RD,POS,KIN,-38.051652,145.11589
219,STATION NR LINCOLN,POS,KIN,-38.027011,145.102211
220,NEPEAN NR SWANPOOL,POS,KIN,-38.047248,145.113541
221,NEPEAN/ARGYLE/MAURY,INT,KIN,-38.056045,145.118292
222,NEPEAN/BONDI,INT,KIN,-38.063607,145.11979
223,STATION/MCLEOD,INT,KIN,-38.076361,145.123194
224,NEPEAN NR STEPHENS,POS,KIN,-38.074571,145.122113
225,NEPEAN NR RESERVE,POS,FRA,-38.088422,145.125002
226,NEPEAN NR ARMSTRONGS,POS,FRA,-38.094072,145.125599
227,NEPEAN/STATION,INT,FRA,-38.103451,145.125885
228,NEPEAN/SEAFORD,INT,FRA,-38.109843,145.125755
229,NEPEAN NR MCCULLOCH,POS,FRA,-38.120695,145.124938
230,NEPEAN/BEACH,INT,FRA,-38.140215,145.12241
231,NEPEAN/WELLS,INT,FRA,-38.142931,145.121095
232,NEPEAN/PLAYNE,INT,FRA,-38.144232,145.120705
233,NEPEAN/DAVEY,INT,FRA,-38.145315,145.120079
235,NEPEAN/CANADIAN BAY,INT,MRP,-38.190864,145.094864
236,NEPEAN/WOORALLA/MT ELIZA WAY,INT,MRP,-38.195027,145.091229
237,NEPEAN/BUNGOWER,INT,MRP,-38.220358,145.056653
238,NEPEAN NR MOOMBA,POS,MRP,-38.231626,145.042113
239,NEPEAN/MAIN/MORNINGTON-TYABB,INT,MRP,-38.229534,145.044858
240,NEPEAN/CRAIGIE,INT,MRP,-38.255916,145.035814
241,THOMPSON / GLADESVILLE,INT,KIN,-38.068599,145.143341
242,NEPEAN NR WILSON,POS,MRP,-38.360933,144.779856
243,POINT NEPEAN/PIER,INT,MRP,-38.332459,144.965347
244,NEPEAN/JETTY,INT,MRP,-38.35425,144.909111
245,NEPEAN NR BEVERLEY,POS,MRP,-38.347963,144.929667
247,POINT NEPEAN/DUNDAS,INT,MRP,-38.369973,144.819374
248,NEPEAN/BONEO,INT,MRP,-38.359908,144.88972
249,NEPEAN NR CARMICHAEL,POS,MRP,-38.368229,144.856991
250,NEPEAN NR NAPIER (RYE),POS,MRP,-38.370367,144.822394
251,STH GIPPS'D HWY/SLADEN(CRAN-DAND),INT,CAS,-38.113035,145.282785
252,STH GIPPS'D HWY/GREENS,INT,DAN,-38.01693,145.233318
253,FOSTER/ENT CAPITAL CENTRE,INT,DAN,-37.987513,145.219937
254,STH GIPPS'D HWY/STAWELL,INT,CAS,-38.108,145.283373
255,CRANBOURNE-FRANK/WARRANDYTE,INT,FRA,-38.152206,145.191018
256,STH GIPPS'D HWY/THOMPSONS,INT,CAS,-38.082238,145.276442
257,STH GIPPS'D HWY (HIGH) NR BAKEWELL,POS,CAS,-38.110385,145.283295
258,STH GIPPSLAND HWY/CAMMS RD.,INT,CAS,-38.098084,145.283225
259,CRANBOURNE-FRANKSTON / JOSEPHINE,INT,FRA,-38.146672,145.200709
260,STH GIPPS'D HWY NR ELIZABETH,POS,CAS,-38.075634,145.272308
261,CRANBOURNE-FRANKSTON/LONG,INT,FRA,-38.154199,145.184569
262,MONASH/HUNTINGDALE,INT,MSH,-37.885512,145.108401
263,MONASH/FORSTER,INT,MSH,-37.892394,145.130478
264,MONASH/BLACKBURN,INT,MSH,-37.895183,145.144036
265,MONASH/SPRINGVALE,INT,MSH,-37.908233,145.160652
266,MONASH/JACKSONS,INT,MSH,-37.936732,145.192688
267,MONASH/STUD (SOUTH),INT,DAN,-37.962745,145.224853
268,WELLINGTON/JACKSONS,INT,MSH,-37.923128,145.195486
269,CHELTENHAM/DINGLEY/SINCLAIR,INT,DAN,-37.991373,145.196288
270,STH GIPPS'D FWY/PHE,INT,CAS,-38.003784,145.253063
271,CRANBOURNE/LEE,INT,FRA,-38.150802,145.151271
272,CRANBOURNE/FLETCHER/FIRE STN,INT,FRA,-38.145682,145.126405
273,KLAUER/HARTNETT,INT,FRA,-38.119032,145.14042
274,NEPEAN/FLETCHER,INT,FRA,-38.138686,145.123274
275,FRANKSTON-DANDENONG/FRANKSTON FWY RAMPS,INT,FRA,-38.129097,145.13301
276,CRANBOURNE/KARINGAL,INT,FRA,-38.154168,145.162331
277,NEPEAN NR WELLS,POS,FRA,-38.142028,145.121512
278,NEPEAN/HUMPHRIES,INT,FRA,-38.166685,145.10167
279,HEATHERTON/TOOTAL,INT,KIN,-37.959784,145.130645
280,SPRINGVALE/MORNINGTON PENINSULA FWY,INT,KIN,-38.026468,145.132497
281,SPRINGVALE/WELLS/EDITHVALE,INT,KIN,-38.027997,145.131188
283,SPRINGVALE/GOVERNOR/HUTTON,INT,KIN,-38.010743,145.140826
284,EDITHVALE NR KINROSS BICYCLE TRACK,POS,KIN,-38.033919,145.122782
285,POLICE/WANDA/GRACE,INT,MSH,-37.934273,145.165807
287,SPRINGVALE NR BALMORAL,POS,DAN,-37.950436,145.152636
288,SPRINGVALE/ST JAMES,INT,DAN,-37.95437,145.151873
289,STATION NR SWANPOOL,POS,KIN,-38.047116,145.113963
290,PHE/SMITH,INT,DAN,-37.941553,145.165945
291,STH GIPPS'D FWY/POUND,INT,CAS,-38.025978,145.248173
292,STATION NR RETREAT,POS,KIN,-38.020098,145.097575
293,THAMES NR MULKARRA,POS,KIN,-38.046408,145.129649
294,PLYMOUTH NR SANDGATE,POS,MRH,-37.782906,145.268459
295,MAROONDAH/YARRA,INT,MRH,-37.785726,145.277735
297,MAROONDAH HWY/BRAND SMART,INT,WTH,-37.818369,145.172128
299,POINT NEPEAN/NINTH,INT,MRP,-38.355729,144.903802
300,PHE/MCGREGOR/THE AVENUE,INT,CAR,-38.071172,145.475211
301,PLYMOUTH/YARRA,INT,MRH,-37.78357,145.274055
302,CRANBOURNE-FRANK/SOUTHGATEWAY,INT,FRA,-38.149225,145.19665
303,HALLAM/CORAL/FORDHOLM,INT,CAS,-38.035679,145.267158
304,FRANKSTON-DANDENONG/ABBOTTS,INT,DAN,-38.03166,145.211948
305,STH GIPPSLAND HWY/LYNBROOK,INT,CAS,-38.050525,145.257577
306,WARBURTON HWY NR HEARSE,POS,YRG,-37.755164,145.652958
307,NEPEAN HWY/BUNNINGS/MORNINGTON SC,INT,MRP,-38.218594,145.058901
308,POINT NEPEAN/HYGEIA,INT,MRP,-38.371065,144.830859
309,WELLS/PALM/NARELLE,INT,KIN,-38.019199,145.118631
310,STH GIPPS'D HWY/LESDON,INT,CAS,-38.087095,145.278565
311,THOMPSONS/WOODBINE,INT,CAS,-38.082579,145.279046
312,WELLS/NURTEN/ROYAL PALMS,INT,KIN,-38.02202,145.124197
313,PHE/LAKESIDE,INT,CAR,-38.061935,145.455271
314,SPRINGVALE/REYNOLDS,INT,MAN,-37.765404,145.182175
315,WARRANDYTE NR ALEXANDER,POS,MAN,-37.748435,145.184421
316,HIGH NR VILLAGE,POS,MAN,-37.782211,145.110078
317,MANNINGHAM/WILLIAMSONS,INT,MAN,-37.779596,145.123226
318,WILLIAMSONS/SHOP TOWN ENT N,INT,MAN,-37.783226,145.124079
319,WILLIAMSONS/SHOP TOWN ENT SOUTH,INT,MAN,-37.785074,145.124485
320,THOMPSONS/FOOTE/TEMPLESTOWE,INT,MAN,-37.757214,145.113305
323,DONCASTER NR HENDER,POS,MAN,-37.787968,145.107681
324,DONCASTER/ELGAR (SLAVED 325),INT,MAN,-37.787561,145.123753
325,DONCASTER/TRAM/WILLIAMSONS,INT,MAN,-37.787445,145.124863
326,DONCASTER/FREDERICK/SHOPPING,INT,MAN,-37.787301,145.126878
327,DONCASTER/COUNCIL,INT,MAN,-37.787401,145.129322
328,RAILWAY/CHAPEL,INT,WTH,-37.819371,145.153843
329,DONCASTER/CHURCH,INT,MAN,-37.786394,145.13794
330,DONCASTER/WETHERBY/VICTORIA,INT,MAN,-37.787009,145.143735
331,DONCASTER/JACKSON,INT,MAN,-37.787667,145.149481
332,DONCASTER NR LEEDS,POS,MAN,-37.788096,145.153143
333,DONCASTER/DRYDEN,INT,MAN,-37.788682,145.158048
334,DONCASTER/DONCASTER BUS DEPOT,INT,MAN,-37.787214,145.145437
335,DONCASTER/BLACKBURN,INT,MAN,-37.789163,145.161956
336,BARKLY/RAILWAY/RING,INT,MRP,-38.220367,145.040742
337,DONCASTER/TUNSTALL,INT,MAN,-37.790171,145.171046
338,DONCASTER/MITCHAM/OLD WARRANDYTE,INT,MAN,-37.790432,145.173507
339,SPRINGVALE/MITCHAM,INT,MAN,-37.79648,145.179157
340,BLACKBURN/KING,INT,MAN,-37.775234,145.164443
341,GEORGE NR DEHNERT,POS,MAN,-37.780978,145.150003
342,BLACKBURN NR CANOPUS,POS,MAN,-37.781341,145.163386
343,MITCHAM/SPRINGFIELD,INT,WTH,-37.806415,145.190883
344,DONCASTER EAST NR MITCHAM,POS,WTH,-37.809602,145.193708
345,MITCHAM/DONCASTER EAST,INT,WTH,-37.808937,145.192865
346,MITCHAM/VICTORIA,INT,WTH,-37.81495,145.193537
348,HUNTINGDALE/BROCKHOFF,INT,MSH,-37.859376,145.113311
349,ROOKS NR CARWEEN,POS,WTH,-37.827299,145.185678
350,BLACKBURN NR CASSOWARY,POS,MAN,-37.79686,145.16048
351,BLACKBURN/GEORGE,INT,MAN,-37.782536,145.163178
352,BLACKBURN NR MONTGOMERY,POS,MSH,-37.879905,145.146939
353,BLACKBURN/CENTREWAY,INT,MSH,-37.891807,145.144657
354,BLACKBURN/SOUTH,INT,WTH,-37.82083,145.152867
355,BLACKBURN NR BINDY,POS,WTH,-37.840185,145.155491
356,HIGHBURY/BLACKBURN,INT,WTH,-37.859769,145.150754
357,BLACKBURN NR HAWTHORN,POS,WTH,-37.844795,145.15462
358,BLACKBURN/HIGH ST RD,INT,MSH,-37.872205,145.148398
359,BLACKBURN/COLEMAN,INT,MSH,-37.876496,145.147578
360,BLACKBURN/WAVERLEY,INT,MSH,-37.886731,145.145689
361,HIGH ST RD/GALLAGHERS,INT,MSH,-37.875659,145.178951
362,BLACKBURN NR CHERRY,POS,MSH,-37.865846,145.149605
363,BLACKBURN/DUERDIN,INT,MSH,-37.909858,145.141323
364,SNEDDEN/THE GLEN CAR PARK,INT,MSH,-37.875659,145.164041
365,HIGH ST RD/CAPITAL,INT,MSH,-37.876503,145.185862
366,BORONIA NR LUSK,POS,WTH,-37.83951,145.200588
367,BORONIA/WANTIRNA,INT,KNO,-37.847629,145.227149
369,BORONIA/STUD,INT,KNO,-37.852753,145.243648
370,BORONIA NR DINSDALE,POS,KNO,-37.857973,145.259488
371,BORONIA/SCORESBY,INT,KNO,-37.860455,145.267106
372,BORONIA NR ROSE,POS,KNO,-37.861307,145.274116
373,BORONIA / TORMORE / NARCISSUS,INT,KNO,-37.861773,145.278043
374,DORSET/BORONIA,INT,KNO,-37.862664,145.285937
375,BORONIA/ERICA,INT,KNO,-37.862451,145.283738
376,BORONIA/FLORISTON/HASTINGS,INT,KNO,-37.862763,145.288269
377,FERNTREE GULLY/ENT BUNNINGS (KNOX),INT,KNO,-37.897608,145.24315
378,FERNTREE GULLY/BORG,INT,KNO,-37.899105,145.223117
379,HIGH NR FONTEYN,POS,KNO,-37.876938,145.221263
380,FOREST NR ALPINE,FLASH PX,KNO,-37.882926,145.296985
383,HIGH ST RD/CATHIES,INT,KNO,-37.876915,145.214518
384,FERNTREE GULLY/HENDERSON/ST LAURENT,INT,KNO,-37.896443,145.247043
385,FOREST NR DOYSAL,POS,KNO,-37.876124,145.299461
387,FLETCHER NR BEACH,POS,FRA,-38.143973,145.126474
389,MAROONDAH NR COMO,POS,YRG,-37.751339,145.369967
391,STUD/CENTRE,INT,KNO,-37.902226,145.235166
394,PHE/DOHERTY,INT,CAR,-38.063001,145.46013
395,HUTTON/CHAPEL,INT,DAN,-38.012787,145.159187
396,NARRE WARREN NTH/MARAMBA,INT,CAS,-38.007984,145.310424
397,SHRIVES/CENTRE,INT,CAS,-38.029066,145.300891
398,STH GIPPS'D HWY/HUON PARK/WENTWORTH,INT,CAS,-38.074115,145.271348
399,BERWICK-CRANBOURNE/BEMERSYDE (NTH),INT,CAS,-38.04926,145.34042
400,HALLAM/POUND,INT,CAS,-38.028388,145.268772
401,NARRE WARREN NTH/ERNST WANKE,INT,CAS,-37.996702,145.312828
403,NARRE WARREN NTH/MAGID/RYELANDS,INT,CAS,-38.013886,145.30927
404,KINGSWAY NR O'SULLIVAN,POS,MSH,-37.878934,145.164017
405,MONASH EXIT RAMP/POLICE,INT,DAN,-37.937745,145.194352
407,KINGSWAY/RAILWAY PDE NTH/COLEMAN,INT,MSH,-37.879527,145.163902
408,SPRINGVALE/THE GLEN SHOPPING,INT,MSH,-37.877211,145.166319
409,SPRINGVALE NR MILTON,POS,WTH,-37.827622,145.174191
411,SPRINGVALE/HAWTHORN,INT,WTH,-37.848704,145.170415
412,SPRINGVALE NR ASTELOT,POS,MAN,-37.800529,145.178306
413,SPRINGVALE/SPRINGFIELD,INT,WTH,-37.813238,145.176829
414,SPRINGVALE NR TUNSTALL,POS,WTH,-37.815046,145.176542
415,SPRINGVALE NR WALKERS/SILVER,POS,WTH,-37.819786,145.175764
416,SPRINGVALE NR LAUGHLIN AVE,POS,WTH,-37.82145,145.17544
417,SPRINGVALE/CANTERBURY,INT,WTH,-37.834731,145.172759
418,SPRINGVALE NR JOLIMONT,POS,WTH,-37.842547,145.171178
420,SPRINGVALE/HIGHBURY,INT,WTH,-37.862016,145.169227
421,SPRINGVALE NR TOLMIE,POS,MSH,-37.865722,145.168534
422,SPRINGVALE/HIGH ST RD,INT,MSH,-37.874387,145.166807
423,SPRINGVALE/COLEMAN/GLEN/RAILWAY,INT,MSH,-37.880718,145.165617
424,SPRINGVALE NR WILSON,POS,MSH,-37.884797,145.164873
426,SPRINGVALE/WAVERLEY,INT,MSH,-37.888886,145.16414
427,SPRINGVALE NR WHITES,POS,MSH,-37.895823,145.162982
429,SPRINGVALE/FERNTREE GULLY,INT,MSH,-37.903537,145.161405
430,SPRINGVALE/DUNLOP,INT,MSH,-37.910885,145.160046
431,SPRINGVALE/MAGID,INT,MSH,-37.906398,145.160899
432,SPRINGVALE/WELLINGTON,INT,MSH,-37.918689,145.158667
433,SPRINGVALE/KINGSWAY,INT,MSH,-37.883429,145.165122
434,SPRINGVALE NR LUCIAN,POS,DAN,-37.941752,145.154178
435,SPRINGVALE/LIGHTWOOD,INT,DAN,-37.949414,145.152836
436,SPRINGVALE/WINDSOR,INT,DAN,-37.951945,145.152342
437,SPRINGVALE NR ANDREW,POS,DAN,-37.958994,145.150994
438,SPRINGVALE/HEATHERTON,INT,DAN,-37.962169,145.150361
439,SPRINGVALE/ATHOL,INT,DAN,-37.971027,145.148489
440,SPRINGVALE/CLARKE/PATERSON,INT,DAN,-37.978522,145.14695
441,SPRINGVALE/SPRINGVALE BYPASS,INT,DAN,-37.98363,145.145922
442,SPRINGVALE/CHELTENHAM,INT,KIN,-37.990854,145.144697
444,SPRINGVALE NR WAREHAM,POS,DAN,-37.938258,145.154807
445,PHE/OVERLAND,INT,CAS,-38.02228,145.30111
446,FERNTREE GULLY NR HOWLEYS,POS,MSH,-37.900891,145.13977
448,HIGH ST RD/SNEDDEN,INT,MSH,-37.874025,145.164027
449,FERNTREE GULLY/LUM,INT,MSH,-37.905647,145.17974
450,FERNTREE GULLY/BRANDON PK,INT,MSH,-37.903825,145.163753
451,FERNTREE GULLY/BLACKBURN,INT,MSH,-37.901256,145.142933
452,FERNTREE GULLY NR AVONHURST,POS,MSH,-37.902149,145.149496
453,BLACKBURN NR TAMBO,POS,MSH,-37.870788,145.148658
454,FERNTREE GULLY/WATSONS/STRADA,INT,MSH,-37.904229,145.16765
455,FERNTREE GULLY/JELLS,INT,MSH,-37.906803,145.189039
456,FERNTREE GULLY/STUD,INT,KNO,-37.899168,145.232834
457,FERNTREE GULLY/MOUNTAIN GATE,INT,KNO,-37.88321,145.275589
459,FERNTREE GULLY/SCORESBY,INT,KNO,-37.891967,145.257601
460,HIGH ST RD/VANNAM/JORDAN,INT,MSH,-37.866912,145.102667
461,COLEMAN NR FIANDER,POS,MSH,-37.876663,145.149072
462,GALLAGHERS NR TOWNSEND,POS,MSH,-37.884151,145.177358
463,HIGH ST RD/HUNTINGDALE,INT,MSH,-37.867929,145.111703
464,HIGH ST RD/STEPHENSONS,INT,MSH,-37.87009,145.130062
465,HIGH ST RD NR CHARLES,POS,MSH,-37.870712,145.135506
466,HIGH ST RD/LAWRENCE,INT,MSH,-37.871478,145.142213
467,HIGH ST RD NR HUNTER,POS,MSH,-37.872558,145.151386
468,HIGHBURY NR FINCH,POS,WTH,-37.856577,145.123059
469,HIGH ST RD NR WESLEY COLLEGE,INT,MSH,-37.873053,145.155593
470,HUNTINGDALE NR ROCKLANDS,POS,MSH,-37.863908,145.112476
471,HUNTINGDALE NR MCLOCHLAN,POS,MSH,-37.87864,145.109722
472,POLICE/BROWNS,INT,DAN,-37.937237,145.189532
473,HIGH ST RD NR TECK,POS,MSH,-37.867325,145.106691
474,HUNTINGDALE NR RAILWAY,POS,MSH,-37.873206,145.110736
475,POLICE NR DUNOON,POS,DAN,-37.933756,145.161643
476,STEPHENSONS NR SIMPSON,POS,MSH,-37.865464,145.130941
477,CAPITAL NR WESTLANDS,POS,MSH,-37.86968,145.178909
478,VIRGINIA NR STEPHENSONS,FLASH PX,MSH,-37.877968,145.128625
479,STEPHENSONS NR KEMP,POS,MSH,-37.881914,145.127881
480,STEPHENSONS/MILLER,INT,MSH,-37.874946,145.129198
481,STEPHENSONS/WAIMARIE,INT,MSH,-37.876814,145.128848
482,STEPHENSONS/VIRGINIA,INT,MSH,-37.878303,145.128562
483,STEPHENSONS/WAVERLEY,INT,MSH,-37.884704,145.127355
484,WANDA NR SHAFTSBURY,POS,MSH,-37.922777,145.16549
485,WAVERLEY NR MCLAREN,POS,MSH,-37.883072,145.113465
486,WAVERLEY NR PARK LANE,POS,MSH,-37.884209,145.123131
487,WAVERLEY/FORSTER,INT,MSH,-37.88522,145.131895
488,WAVERLEY/ARISTOC/GLENWOOD,INT,MSH,-37.887987,145.156015
489,WELLINGTON/WANDA/MONASH,INT,MSH,-37.91946,145.164838
490,GLADSTONE/HALTON,INT,DAN,-37.956645,145.207326
491,WELLINGTON/COLES MYER HOUSE,INT,MSH,-37.918902,145.160414
492,WELLINGTON/JELLS,INT,MSH,-37.922073,145.186176
493,WELLINGTON/BRANDON PK,INT,MSH,-37.921451,145.180994
495,HUTTON/GREEN/PERRY,INT,DAN,-38.011497,145.171279
496,HIGH ST RD NR ALVIE,POS,MSH,-37.869323,145.123921
498,JELLS/GRANDVIEW,INT,MSH,-37.913147,145.187902
499,JELLS/WHEELERS HILL SHOPPING CENTRE,INT,MSH,-37.910393,145.188406
500,SPRINGVALE/THE WATERWAYS,INT,KIN,-38.016128,145.139811
501,POINT NEPEAN/TRUEMANS,INT,MRP,-38.366937,144.862957
502,CLYDE/CENTRE,INT,CAS,-38.051381,145.339991
503,BERWICK-CRANBOURNE (CLYDE)/KANGAN,INT,CAS,-38.040238,145.342173
504,THOMPSONS NR LESDON,POS,CAS,-38.081793,145.273373
505,CRANBOURNE-FRANKSTON/MONAHANS/CHERRYHILL,INT,CAS,-38.1109,145.265042
506,NARRE WARREN-CRANB/ORMOND/LITTLECROFT,INT,CAS,-38.065278,145.299124
507,STATION ST NR MASCOT AVE,POS,KIN,-38.071309,145.121795
